"subject","trial","action","object","location","relation","...7","step"
1,1,"stepnear",NA,NA,NA,NA,1
1,1,"pickup","kettle","table","from",NA,2
1,1,"pickup","mug","table","from",NA,3
1,1,"pour","water","mug","into",NA,4
1,1,"put","mug","table","on",NA,5
1,1,"put","kettle","table","on",NA,6
1,1,"pickup","teabag","box","from",NA,7
1,1,"put","teabag","mug","into",NA,8
1,1,"pickup","shaker","table","from",NA,9
1,1,"pour","sugar","mug","into",NA,10
1,1,"put","shaker","table","on",NA,11
1,1,"pickup","spoon","table","from",NA,12
1,1,"mix","tea","mug","in",NA,13
1,1,"put","spoon","table","on",NA,14
1,1,"pickup","teabag","mug","from",NA,15
1,1,"put","teabag","cup","into",NA,16
1,1,"pickup","mug","table","from",NA,17
1,1,"drink",NA,NA,NA,NA,18
1,2,"stepnear",NA,NA,NA,NA,1
1,2,"pickup","mug","table","from",NA,2
1,2,"pickup","kettle","table","from",NA,3
1,2,"pour","water","mug","into",NA,4
1,2,"put","kettle","table","on",NA,5
1,2,"put","mug","table","on",NA,6
1,2,"pickup","teabag","box","from",NA,7
1,2,"put","teabag","mug","into",NA,8
1,2,"pickup","shaker","table","from",NA,9
1,2,"pour","sugar","mug","into",NA,10
1,2,"put","shaker","table","on",NA,11
1,2,"pickup","spoon","table","from",NA,12
1,2,"mix","tea","mug","in",NA,13
1,2,"put","spoon","table","on",NA,14
1,2,"pickup","teabag","mug","from",NA,15
1,2,"put","teabag","cup","into",NA,16
1,2,"pickup","mug","table","from",NA,17
1,2,"drink",NA,NA,NA,NA,18
1,5,"stepnear",NA,NA,NA,NA,1
1,5,"pickup","mug","table","from",NA,2
1,5,"pickup","kettle","table","from",NA,3
1,5,"pour","water","mug","into",NA,4
1,5,"put","kettle","table","on",NA,5
1,5,"put","mug","table","on",NA,6
1,5,"pickup","teabag","box","from",NA,7
1,5,"put","teabag","mug","into",NA,8
1,5,"pickup","shaker","table","from",NA,9
1,5,"pickup","spoon","table","from",NA,10
1,5,"pour","sugar","mug","into",NA,11
1,5,"mix","tea","mug","in",NA,12
1,5,"put","shaker","table","on",NA,13
1,5,"put","spoon","table","on",NA,14
1,5,"pickup","teabag","mug","from",NA,15
1,5,"put","teabag","cup","into",NA,16
1,5,"pickup","mug","table","from",NA,17
1,5,"drink",NA,NA,NA,NA,18
1,6,"stepnear",NA,NA,NA,NA,1
1,6,"pickup","mug","table","from",NA,2
1,6,"put","mug","table","on",NA,3
