"subject","trial","action","object","location","relation","...7","step"
2,2,"stepnear",NA,NA,NA,NA,1
2,2,"pickup","teabag","box","from",NA,2
2,2,"put","teabag","mug","into",NA,3
2,2,"pickup","kettle","table","from",NA,4
2,2,"pour","water","mug","into",NA,5
2,2,"put","kettle","table","on",NA,6
2,2,"pickup","teabag","mug","from",NA,7
2,2,"put","teabag","cup","into",NA,8
2,2,"pickup","shaker","table","from",NA,9
2,2,"pour","sugar","mug","into",NA,10
2,2,"put","shaker","table","on",NA,11
2,2,"pickup","spoon","table","from",NA,12
2,2,"mix","tea","mug","in",NA,13
2,2,"put","spoon","table","on",NA,14
2,2,"pickup","mug","table","from",NA,15
2,2,"drink",NA,NA,NA,NA,16
